length.mm,weight.g
65,1.59
84,3.38
85,3.42
69,2.23
90,4.75
95,5
79,3.11
76,2.17
79,2.82
77,2.56
87,3.82
85,3.52
75,2.3
77,2.25
84,2.96
,
69,1.66
72,2.3
88,3.4
74,2.52
89,3.6
113,7.57
78,2.63
84,3.56
85,3.64
71,2.51
98,5.36
106,7
67,2.17
81,2.73
72,2.25
72,2.37
,
84,2.82
72,2.34
71,1.69
71,2
101,6.74
115,7.57
115,8.29
92,4.38
78,2.15
81,3.84
76,2.65
89,3.47
90,3.83
112,6.9
117,8.2
,
,
76,2.24
75,2.43
87,3.15
81,2.91
100,4.77
82,3.37
111,6
,
83,2.7
78,1.94
69,1.89
116,7.31
104,6.35
113,7
,
81,2.8
90,4.26
70,1.91
93,4
88,3.75
97,5.34
85,3.7
,
75,2.12
81,3.28
76,2.63
75,2.22
106,6.67
84,3.27
82,3.37
